Protein,Betweenness
GRMZM2G369266_P01,4638.893107708661
GRMZM2G370048_P01,9756.688483039292
GRMZM2G370188_P01,366.56815363911426
GRMZM2G375504_P01,31088.38887344954
GRMZM2G376074_P01,5593.923235040761
GRMZM2G377451_P01,4920.91553736936
GRMZM2G380438_P01,4698.97197536289
GRMZM2G383778_P01,28216.6180451992
GRMZM2G385619_P01,11935.14427993597
GRMZM2G387389_P01,52786.22118872534
GRMZM2G392649_P01,11454.005086059393
GRMZM2G402584_P01,2513.9297490843396
GRMZM2G403797_P01,0.15460963906096428
GRMZM2G406830_P01,34703.15340552151
GRMZM2G407949_P01,3360.0709668410614
GRMZM2G411536_P03,19898.203191917717
GRMZM2G415579_P01,477.91356285181615
GRMZM2G417963_P01,5.090654754333896
GRMZM2G419111_P01,15661.463966966132
GRMZM2G421495_P01,54041.68160904523
GRMZM2G425647_P02,3904.471134774345
GRMZM2G427097_P01,5922.213988766562
GRMZM2G430604_P01,9660.264037960971
GRMZM2G438386_P01,1921.8970836430074
GRMZM2G440208_P01,18444.450014263413
GRMZM2G442658_P06,12040.296463117591
GRMZM2G443445_P01,11076.03638958432
GRMZM2G445461_P01,4803.5837579279905
GRMZM2G447056_P01,8123.8816523095265
GRMZM2G447447_P01,185166.99406257903
GRMZM2G451357_P01,50007.973761702444
GRMZM2G453388_P01,694.9737039500233
GRMZM2G462140_P01,57314.96145691588
GRMZM2G467799_P03,103514.55963346257
GRMZM2G468855_P02,2804.0119389757288
GRMZM2G469969_P01,3058.464623791399
GRMZM2G479068_P01,12454.723374069372
GRMZM2G520535_P01,2764.0841579474427
GRMZM2G533860_P01,41913.11060302852
GRMZM2G542847_P01,21418.350936282048
GRMZM2G551402_P02,6883.9720924236035
GRMZM2G700683_P01,24581.51683268929
GRMZM5G811212_P01,2454.019589610657
GRMZM5G812289_P01,10099.00238166333
GRMZM5G824600_P03,64455.91578691259
GRMZM5G827505_P02,21669.276166984746
GRMZM5G832491_P01,4197.957236520235
GRMZM5G843555_P04,2552.1817629697102
GRMZM5G852502_P01,3404.814427695655
GRMZM5G853065_P01,61520.06599204776
GRMZM5G855891_P01,3727.5772367279383
GRMZM5G859986_P01,8892.342176745844
GRMZM5G864266_P01,4323.569065811492
GRMZM5G872934_P01,1312.5072867060728
GRMZM5G889769_P01,53032.92089599737
GRMZM5G894518_P01,598.6864167655109
AC150739.3_FGP001,437.41116005584405
AC186166.3_FGP008,284.86132009217397
AC200298.4_FGP001,278.3317605069725
AC205008.4_FGP002,28624.099386165526
GRMZM2G000166_P01,305.8619136705736
GRMZM2G000219_P01,238.10190258706055
GRMZM2G007713_P01,284.86132009217397
GRMZM2G008202_P03,247.11794251876938
GRMZM2G008290_P01,273.5491214209952
GRMZM2G009117_P01,208.52477637843404
GRMZM2G022318_P01,209.33475559237797
GRMZM2G022637_P01,273.5491214209952
GRMZM2G028134_P01,5066.452965417694
GRMZM2G029951_P01,34701.80489637189
GRMZM2G031528_P02,57.88482283192611
GRMZM2G032430_P01,278.3317605069725
GRMZM2G033480_P01,2296.5078759588464
GRMZM2G035077_P01,1824.5121069684021
GRMZM2G036368_P01,304.931969354921
GRMZM2G036631_P01,259.1051241630699
GRMZM2G042692_P01,258.7817086270303
GRMZM2G044372_P01,196.48649685584522
GRMZM2G049077_P02,25.211267888931726
GRMZM2G049781_P01,194.34050406674365
GRMZM2G054341_P01,273.5491214209952
GRMZM2G055999_P01,47723.541701379465
GRMZM2G058032_P01,12374.984262531852
GRMZM2G063342_P01,13633.441594835458
GRMZM2G067421_P01,516.8866899751185
GRMZM2G067853_P01,46465.3337254319
GRMZM2G081957_P01,121314.6342239331
GRMZM2G085086_P01,2002.368615068721
GRMZM2G086163_P01,60.9790016533557
GRMZM2G087101_P01,136.96149074625941
GRMZM2G088669_P01,294.4233336127745
GRMZM2G088747_P01,284.86132009217397
GRMZM2G089873_P01,273.5491214209952
GRMZM2G092581_P01,216.69010811466114
GRMZM2G092718_P01,982.9042043067533
GRMZM2G092867_P01,30.57335918123517
GRMZM2G097188_P01,172.47877192593432
GRMZM2G099191_P01,30930.436100290823
GRMZM2G105498_P01,2958.272592751873
GRMZM2G111872_P01,206.39914063885234
GRMZM2G113863_P01,207.65759492121293
GRMZM2G114675_P03,206.39914063885234
GRMZM2G120964_P02,273.8072675433963
GRMZM2G121024_P01,326.87594402485746
GRMZM2G121189_P01,39.681731972303055
GRMZM2G122437_P01,206.94295872179757
GRMZM2G123094_P02,143013.226039335
GRMZM2G123486_P02,206.39914063885234
GRMZM2G129399_P01,270.8883607448409
GRMZM2G136859_P01,253.20382027846208
GRMZM2G141624_P01,235.53884915344227
GRMZM2G141636_P01,3200.482920080535
GRMZM2G150450_P01,16399.12051022285
GRMZM2G155281_P01,16509.5614698444
GRMZM2G155525_P01,134.0921126086437
GRMZM2G160064_P01,42.23204916318846
GRMZM2G161846_P01,185.39437757880438
GRMZM2G166711_P01,115.14408931151762
GRMZM2G174673_P01,99.4398812508954
GRMZM2G175728_P01,219442.87317809358
GRMZM2G313009_P01,387.97223010608064
GRMZM2G315931_P01,132045.04748918873
GRMZM2G327295_P01,37.92481412621514
GRMZM2G353788_P01,273.0711632587233
GRMZM2G354855_P01,556.271259123383
GRMZM2G371486_P01,270.20518567188327
GRMZM2G374010_P01,312.535277006094
GRMZM2G377663_P01,369.13442331858914
GRMZM2G394979_P01,313.0419991401386
GRMZM2G404702_P01,19750.500728476844
GRMZM2G405559_P01,2575.924975571225
GRMZM2G455491_P01,39977.029829778294
GRMZM2G564586_P01,108.41323642231008
GRMZM5G822137_P05,218.44273133830598
GRMZM5G849889_P01,41.11380466446989
GRMZM5G882364_P01,52.82022365985888
GRMZM5G887216_P01,2276.7736257909014
AC152495.1_FGP003,140.7201809350668
AC193598.3_FGP002,14686.31480017976
AC195587.4_FGP004,101.7867636303663
AC203972.3_FGP001,62874.454034525435
AC213769.3_FGP001,12.583393828223707
AC230011.2_FGP002,423.9982750327893
AC233949.1_FGP004,1820.4108175633924
GRMZM2G003625_P01,661.4598028308172
GRMZM2G003755_P01,6357.458368986472
GRMZM2G004412_P01,1631.7095865549766
GRMZM2G005134_P01,558.802906107664
GRMZM2G005347_P01,4329.06024834592
GRMZM2G005452_P01,50.4994223510513
GRMZM2G012958_P01,27444.86138036846
